Title,Year,Duration,Age Rating,IMDb Rating,Votes
Anora,2024,2h 19m,18,7.6,162K
Solo Leveling,2024–,15,N/A,8.5,61K
Moana 2,2024,1h 40m,PG,6.7,92K
Kraven the Hunter,2024,2h 7m,15,5.4,47K
Protection,2024–,15,N/A,6.9,2.4K
The Substance,2024,2h 21m,18,7.3,285K
Wicked,2024,2h 40m,PG,7.5,147K
Heretic,2024,1h 51m,15,7.0,124K
The Brutalist,2024,3h 36m,18,7.5,72K
Trap,2024,1h 45m,15,5.8,133K
Nosferatu,2024,2h 12m,15,7.3,182K
Tracker,2024–,TV-14,N/A,7.1,20K
Flow,2024,1h 25m,U,7.9,63K
Conclave,2024,2h,12A,7.4,136K
A Thousand Blows,2024–,TV-MA,N/A,7.4,5.9K
Landman,2024–,TV-MA,N/A,8.2,49K
A Complete Unknown,2024,2h 21m,15,7.4,62K
I'm Still Here,2024,2h 17m,15,8.4,98K
The Day of the Jackal,2024–,TV-MA,N/A,8.2,89K
Twisters,2024,2h 2m,12A,6.5,162K
Matlock,2024–,TV-14,N/A,7.6,9.4K
Elsbeth,2024–,TV-14,N/A,7.6,13K
Gladiator II,2024,2h 28m,15,6.5,219K
The Day the Earth Blew Up: A Looney Tunes Movie,2024,1h 31m,U,7.0,2.9K
A Real Pain,2024,1h 30m,15,7.1,79K
Fallout,2024–,15,N/A,8.3,302K
Doctor Odyssey,2024–,N/A,N/A,5.9,5.8K
Babygirl,2024,1h 54m,18,6.0,49K
Sonic the Hedgehog 3,2024,1h 50m,PG,6.9,54K
Common Side Effects,2024–,16,N/A,8.7,4.5K
Dexter: Original Sin,2024–,18,N/A,8.2,31K
Longlegs,2024,1h 41m,15,6.6,180K
Watson,2024–,N/A,N/A,5.0,2.9K
Pushpa: The Rule - Part 2,2024,3h 21m,15,6.1,54K
Mufasa: The Lion King,2024,1h 58m,PG,6.6,50K
The Penguin,2024,15,N/A,8.6,186K
Shōgun,2024–2026,TV-MA,N/A,8.6,211K
Venom: The Last Dance,2024,1h 50m,15,6.0,110K
The Wild Robot,2024,1h 42m,U,8.2,154K
Better Man,2024,2h 15m,15,7.6,23K
Parthenope,2024,2h 17m,15,6.6,9.7K
The Agency,2024–,TV-MA,N/A,7.4,17K
The Apprentice,2024,2h 2m,15,7.1,51K
Emilia Pérez,2024,2h 12m,15,5.4,85K
Dune: Part Two,2024,2h 46m,12A,8.5,616K
Presence,2024,1h 24m,15,6.1,18K
Ludwig,2024–,N/A,N/A,8.1,12K
Horizon: An American Saga - Chapter 1,2024,3h 1m,15,6.7,39K
It Ends with Us,2024,2h 10m,15,6.4,82K
Eden,2024,2h,R,6.1,819
